heating_load,true_class,predicted_class,distance_to_threshold,is_error
24.94,1,1,7.710000000000001,False
35.45,1,1,18.220000000000002,False
28.07,1,1,10.84,False
8.6,0,0,8.63,False
36.95,1,1,19.720000000000002,False
14.58,0,0,2.6500000000000004,False
35.89,1,1,18.66,False
24.4,1,1,7.169999999999998,False
23.53,1,1,6.300000000000001,False
14.53,0,0,2.700000000000001,False
12.95,0,0,4.280000000000001,False
32.38,1,1,15.150000000000002,False
25.36,1,1,8.129999999999999,False
33.28,1,1,16.05,False
41.26,1,1,24.029999999999998,False
42.96,1,1,25.73,False
10.07,0,0,7.16,False
10.42,0,0,6.8100000000000005,False
19.12,1,1,1.8900000000000006,False
15.41,0,0,1.8200000000000003,False
14.08,0,0,3.1500000000000004,False
16.94,0,0,0.28999999999999915,False
29.67,1,1,12.440000000000001,False
14.75,0,0,2.4800000000000004,False
17.88,1,1,0.6499999999999986,False
14.7,0,0,2.530000000000001,False
28.09,1,1,10.86,False
28.37,1,1,11.14,False
29.43,1,1,12.2,False
11.6,0,0,5.630000000000001,False
28.41,1,1,11.18,False
14.37,0,0,2.860000000000001,False
12.12,0,0,5.110000000000001,False
6.4,0,0,10.83,False
36.64,1,1,19.41,False
35.48,1,1,18.249999999999996,False
32.46,1,1,15.23,False
19.68,1,1,2.4499999999999993,False
10.68,0,0,6.550000000000001,False
35.73,1,1,18.499999999999996,False
12.95,0,0,4.280000000000001,False
38.57,1,1,21.34,False
31.53,1,1,14.3,False
24.23,1,1,7.0,False
14.72,0,0,2.51,False
24.63,1,1,7.399999999999999,False
36.66,1,1,19.429999999999996,False
15.32,0,0,1.9100000000000001,False
17.35,1,0,0.120000000000001,True
12.03,0,0,5.200000000000001,False
32.31,1,1,15.080000000000002,False
12.41,0,0,4.82,False
29.68,1,1,12.45,False
19.34,1,1,2.1099999999999994,False
26.46,1,1,9.23,False
12.86,0,0,4.370000000000001,False
13.18,0,0,4.050000000000001,False
10.39,0,0,6.84,False
36.06,1,1,18.830000000000002,False
15.37,0,0,1.8600000000000012,False
11.68,0,0,5.550000000000001,False
28.7,1,1,11.469999999999999,False
11.45,0,0,5.780000000000001,False
18.46,1,1,1.2300000000000004,False
29.06,1,1,11.829999999999998,False
13.99,0,0,3.24,False
12.17,0,0,5.0600000000000005,False
13.0,0,0,4.23,False
12.16,0,0,5.07,False
23.8,1,1,6.57,False
12.45,0,0,4.780000000000001,False
11.69,0,0,5.540000000000001,False
18.88,1,1,1.6499999999999986,False
10.43,0,0,6.800000000000001,False
37.1,1,1,19.87,False
28.55,1,1,11.32,False
39.83,1,1,22.599999999999998,False
32.06,1,1,14.830000000000002,False
12.3,0,0,4.93,False
29.79,1,1,12.559999999999999,False
28.18,1,1,10.95,False
17.5,1,0,0.2699999999999996,True
6.37,0,0,10.86,False
32.09,1,1,14.860000000000003,False
14.66,0,0,2.5700000000000003,False
18.9,1,1,1.6699999999999982,False
12.93,0,0,4.300000000000001,False
14.6,0,0,2.630000000000001,False
14.17,0,0,3.0600000000000005,False
29.06,1,1,11.829999999999998,False
12.32,0,0,4.91,False
28.31,1,1,11.079999999999998,False
10.75,0,0,6.48,False
32.26,1,1,15.029999999999998,False
19.0,1,1,1.7699999999999996,False
36.57,1,1,19.34,False
15.09,0,0,2.1400000000000006,False
10.47,0,0,6.76,False
11.43,0,0,5.800000000000001,False
16.47,0,0,0.7600000000000016,False
32.82,1,1,15.59,False
24.7,1,1,7.469999999999999,False
7.1,0,0,10.13,False
40.78,1,1,23.55,False
32.31,1,1,15.080000000000002,False
14.5,0,0,2.7300000000000004,False
15.16,0,0,2.0700000000000003,False
15.18,0,0,2.0500000000000007,False
12.43,0,0,4.800000000000001,False
39.86,1,1,22.63,False
29.54,1,1,12.309999999999999,False
10.66,0,0,6.57,False
32.72,1,1,15.489999999999998,False
35.69,1,1,18.459999999999997,False
16.54,0,0,0.6900000000000013,False
11.7,0,0,5.530000000000001,False
